Timestamp,Frame,Class,Confidence,People Count
2025-10-26 01:49:32,25,person,0.45,7
2025-10-26 01:49:32,25,bicycle,0.43,7
2025-10-26 01:49:32,25,person,0.43,8
2025-10-26 01:49:32,26,person,0.84,1
2025-10-26 01:49:32,26,motorcycle,0.74,1
2025-10-26 01:49:32,26,person,0.59,2
2025-10-26 01:49:32,26,person,0.54,3
2025-10-26 01:49:32,26,person,0.49,4
2025-10-26 01:49:32,26,person,0.43,5
2025-10-26 01:49:32,26,person,0.43,6
2025-10-26 01:49:32,26,person,0.43,7
2025-10-26 01:49:32,26,truck,0.42,7
2025-10-26 01:49:32,26,person,0.42,8
2025-10-26 01:49:32,26,person,0.42,9
2025-10-26 01:49:32,26,person,0.41,10
2025-10-26 01:49:32,27,person,0.84,1
2025-10-26 01:49:32,27,person,0.64,2
2025-10-26 01:49:32,27,person,0.55,3
2025-10-26 01:49:32,27,motorcycle,0.55,3
2025-10-26 01:49:32,27,person,0.55,4
2025-10-26 01:49:32,27,person,0.49,5
2025-10-26 01:49:32,27,person,0.43,6
2025-10-26 01:49:32,27,person,0.41,7
2025-10-26 01:49:32,27,person,0.40,8
2025-10-26 01:49:32,28,person,0.84,1
2025-10-26 01:49:32,28,person,0.62,2
2025-10-26 01:49:32,28,person,0.59,3
2025-10-26 01:49:32,28,motorcycle,0.54,3
2025-10-26 01:49:32,28,person,0.52,4
2025-10-26 01:49:32,28,person,0.49,5
2025-10-26 01:49:32,28,motorcycle,0.48,5
2025-10-26 01:49:32,28,person,0.45,6
2025-10-26 01:49:32,28,person,0.44,7
2025-10-26 01:49:32,28,person,0.42,8
2025-10-26 01:49:32,28,person,0.40,9
2025-10-26 01:49:32,29,person,0.83,1
2025-10-26 01:49:32,29,motorcycle,0.69,1
2025-10-26 01:49:32,29,person,0.63,2
2025-10-26 01:49:32,29,person,0.58,3
2025-10-26 01:49:32,29,person,0.52,4
2025-10-26 01:49:32,29,motorcycle,0.48,4
2025-10-26 01:49:32,29,person,0.47,5
2025-10-26 01:49:32,29,person,0.44,6
2025-10-26 01:49:32,29,person,0.44,7
2025-10-26 01:49:32,29,person,0.41,8
2025-10-26 01:49:32,29,person,0.41,9
2025-10-26 01:49:33,30,person,0.81,1
2025-10-26 01:49:33,30,person,0.67,2
2025-10-26 01:49:33,30,person,0.60,3
2025-10-26 01:49:33,30,person,0.56,4
2025-10-26 01:49:33,30,person,0.48,5
2025-10-26 01:49:33,30,person,0.43,6
2025-10-26 01:49:33,30,motorcycle,0.42,6
2025-10-26 01:49:33,30,person,0.42,7
2025-10-26 01:49:33,30,motorcycle,0.41,7
2025-10-26 01:49:33,31,person,0.81,1
2025-10-26 01:49:33,31,person,0.71,2
2025-10-26 01:49:33,31,motorcycle,0.60,2
2025-10-26 01:49:33,31,person,0.59,3
2025-10-26 01:49:33,31,person,0.55,4
2025-10-26 01:49:33,31,person,0.51,5
2025-10-26 01:49:33,31,person,0.51,6
2025-10-26 01:49:33,31,person,0.51,7
2025-10-26 01:49:33,31,person,0.47,8
2025-10-26 01:49:33,31,bicycle,0.44,8
2025-10-26 01:49:33,32,person,0.80,1
2025-10-26 01:49:33,32,person,0.69,2
2025-10-26 01:49:33,32,person,0.64,3
2025-10-26 01:49:33,32,motorcycle,0.62,3
2025-10-26 01:49:33,32,person,0.54,4
2025-10-26 01:49:33,32,person,0.52,5
2025-10-26 01:49:33,32,motorcycle,0.48,5
2025-10-26 01:49:33,32,person,0.48,6
2025-10-26 01:49:33,32,person,0.41,7
2025-10-26 01:49:33,33,person,0.81,1
2025-10-26 01:49:33,33,person,0.65,2
2025-10-26 01:49:33,33,person,0.63,3
2025-10-26 01:49:33,33,motorcycle,0.63,3
2025-10-26 01:49:33,33,person,0.57,4
2025-10-26 01:49:33,33,person,0.56,5
2025-10-26 01:49:33,33,person,0.51,6
2025-10-26 01:49:33,33,person,0.47,7
2025-10-26 01:49:33,33,person,0.40,8
2025-10-26 01:49:33,34,person,0.83,1
2025-10-26 01:49:33,34,person,0.66,2
2025-10-26 01:49:33,34,person,0.63,3
2025-10-26 01:49:33,34,person,0.61,4
2025-10-26 01:49:33,34,motorcycle,0.61,4
2025-10-26 01:49:33,34,motorcycle,0.56,4
2025-10-26 01:49:33,34,person,0.54,5
2025-10-26 01:49:33,34,person,0.51,6
2025-10-26 01:49:33,34,person,0.49,7
2025-10-26 01:49:33,34,person,0.45,8
2025-10-26 01:49:33,34,person,0.41,9
2025-10-26 01:49:33,35,person,0.83,1
2025-10-26 01:49:33,35,motorcycle,0.73,1
